epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,525.09,1.21904,2.63975,1.57886,0.20685,0.51672,0.32508,0.17569,1.65049,3.53786,1.74646,0.000552082,0.000552082,0.000552082
2,999.476,1.34681,1.98695,1.69813,0.32902,0.40552,0.29365,0.14879,1.78721,2.77811,1.88875,0.000998081,0.000998081,0.000998081
3,1449.46,1.36229,1.63525,1.71863,0.64065,0.5291,0.53455,0.29104,1.77149,1.8402,1.83222,0.00133406,0.00133406,0.00133406
4,2041.15,1.27757,1.34431,1.6423,0.5797,0.68186,0.65809,0.34707,1.59846,1.80481,1.67798,0.0011719,0.0011719,0.0011719
5,2970.6,1.19313,1.15193,1.54973,0.85553,0.72822,0.82289,0.44955,1.44681,1.18917,1.47228,0.00100687,0.00100687,0.00100687
6,3537.78,1.11405,1.01406,1.47684,0.83713,0.74595,0.8668,0.49343,1.38073,1.15723,1.35741,0.000841835,0.000841835,0.000841835
7,4099.52,1.05027,0.90046,1.41994,0.84471,0.73354,0.85051,0.50711,1.40927,1.06698,1.39377,0.000676802,0.000676802,0.000676802
8,4612.66,1.00375,0.81225,1.38255,0.91569,0.90816,0.96021,0.59057,1.21981,0.87104,1.31428,0.000511769,0.000511769,0.000511769
9,5151.32,0.92268,0.72694,1.30841,0.93788,0.92199,0.96058,0.61522,1.16323,0.84365,1.25756,0.000346736,0.000346736,0.000346736
10,5634.69,0.84658,0.6531,1.24651,0.95995,0.9344,0.97127,0.62397,1.14229,0.75063,1.22356,0.000181703,0.000181703,0.000181703
